StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q2.1,Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q5.1,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.4_1,Q5.4_2,Q5.4_3,Q5.4_4,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_7,Q6.1_8,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.3_5,Q8.1_1,Q8.1_2,Q8.1_3,Q8.1_4,Q8.1_5,Q8.1_6,Q8.1_7,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.2_6,Q8.2_7,Q8.2_8,Q8.2_9,Q8.2_10,Q8.2_11,Q8.2_12,Q8.2_13,Q8.2_14,Q8.3_1,Q8.3_2,Q8.3_3,Q8.3_4,Q8.3_5,Q8.3_6,Q8.3_7,Q8.3_8,Q8.3_9,Q8.4_1,Q8.4_2,Q8.4_3,Q8.4_4,Q8.4_5,Q8.4_6,Q8.4_7,Q8.4_8,Q8.4_9,Q8.4_10,Q8.4_11,Q8.4_12,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.1_6,Q9.1_7,Q9.1_8,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q10.1_5,Q11.1,Q11.2,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q14.1,Q14.2,Q14.2_8_TEXT,Q14.3,Q14.3_7_TEXT,Q14.4,Q14.5,Q14.5_8_TEXT,Q14.6,Q14.7,Q14.8_1,Q14.9,Q14.10,Q15.1,Q15.2,Q15.4,Q15.5,Q15.6,Q16.2,Q16.3,Q16.4,Q16.5,Q16.6,Q18.2,Q18.3,Q18.4,Q18.5,Q18.6,Q18.7,Q19.2,Q19.3,Q19.4,Q19.5,Q19.6,Q20.2,Q20.3,Q20.4,Q20.5,Q20.6,Q20.7
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Q_RecaptchaScore,"Title of Study: A Survey of Recent Consumer Habits and Behavior 



Principal Investigator (PI): Dr. Trisha R. Shrum



Funder: USDA Hatch Research Grant



Introduction

You are being invited to take part in this research study because we want to understand recent daily habits and consumer behavior of adults in the US. This study is being conducted by Dr. Shrum at the University of Vermont.



Purpose

The purpose of this survey is to help develop a behavioral scale to better understand motivations for consumer behavior.



Study Procedures

If you take part in the study, you will be asked to take a survey. 

The survey questions ask whether or not you have done a large number of common consumer behaviors in the past week. We will also ask a series of questions about your attitudes and experience with weather events. Finally, we will ask for the location of your primary residence. 

You can skip attitude and location questions that you do not feel comfortable answering, but we ask that you be as thorough and accurate as possible. The study will take about 12 minutes to complete in a single session.



Benefits

As a participant in this research study, there may not be direct benefit for you; however, information from this study may benefit other people now or in the future.



Risks

Your participation in this study involves minimal foreseeable risks. Your address is considered identifiable information, but you can skip the question if you are not comfortable sharing it. You are also not required to provide your exact address, but we ask that you be as accurate as possible.

We will do our best to protect the information we collect from you and avoid any potential risk for an accidental breach of confidentiality. 



Costs 

There will be no costs to you for participation in this research study.



Compensation

For taking part in this research study, you will be reimbursed for your time as specified in the Prolific recruitment process.



Confidentiality
Addresses are the only identifying information we will be collecting. However, you can skip the question if you are not comfortable. You also do not need to provide an exact address, but we ask that you be as accurate as possible. 

To protect the confidentiality of respondents, addresses will be stored in a folder with restricted access and will be kept separate from other survey and demographic information. 



Voluntary Participation/Withdrawal

Taking part in this study is voluntary. You are free to not answer any questions or withdraw at any time. You may choose not to take part in this study, or if you decide to take part, you can change your mind later and withdraw from the study.



Questions 
If you have any questions about this study now or in the future, you may contact me, Dr. Trisha Shrum at the following phone number: (802) 656-8117. If you have questions or concerns about your rights as a research participant, then you may contact the Director of the Research Protections Office at (802) 656-5040. 

It is recommended you print or save a pdf of this information sheet for your records before continuing.
Do you consent to the conditions of this survey?","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID","In the past week, have you ... - run the washing machine without a full load?","In the past week, have you ... - run the dishwasher without a full load?","In the past week, have you ... - turned off the water in the middle of a shower (e.g. while soaping up, shaving, etc.)?","In the past week, have you ... - turned off the water while brushing your teeth?","In the past week, have you ... - watered your lawn?","In the past week, have heated or cooled your home?","In the past week, have you... - set your thermostat at or below 68 degrees?","In the past week, have you... - lowered your thermostat at night? (either manually or pre-programmed)","In the past week, have you... - lowered your thermostat when you were away from home?","In the past week, have you... - used a space heater?","In the past week, have you... - set your thermostat at or above 72 degrees?","In the past week, have you... - increased your thermostat at night?","In the past week, have you... - increased your thermostat when you were away from home?","In the past week, have you... - used a fan to stay cool?","In the past week, have you... - used the cold water setting to wash your clothes?","In the past week, have you... - hung clean clothes to dry?","In the past week, have you... - used a clothes dryer?","In the past week, have you... - went around your house and turned off lights not in use?","In the past week, have you ... - posted or shared content on social media that is critical of environmental policies or initiatives?","In the past week, have you ... - posted any information, articles, or content that are supportive of policies or practices aimed at protecting the environment or promoting sustainability?","In the past week, have you ... - posted ideas or actions to reduce one’s environmental impact on social media?","In the past week, have you ... - spent time outside in nature (e.g., a forest, lake, ocean)?","In the past week, have you ... - watched a nature documentary?","In the past week, have you ... - read about wildlife, nature, or environmental issues?","In the past week, have you ... - participated in a community group or communicated with others about environmental issues facing your community?","In the past week, have you ... - had a conversation about environmental issues?","In the past week, have you ... - purchased organic fruits or vegetables?","In the past week, have you ... - purchased locally produced food?","In the past week, have you ... - consumed food from your household's garden?","In the past week, have you ... - brought your own lunch to work or school?","In the past week, have you ... - foraged for wild, edible plants or mushrooms?","In the past week, have you ... - refrained from making a food purchase because it was produced too far away?","In the past week, have you ... - eaten any meat or seafood?","In the past week, have you ... - eaten beef?","In the past week, have you ... - eaten at least one lunch without meat?","In the past week, have you ... - eaten at least one dinner without meat?","In the past week, have you ... - eaten meat or seafood every day?","In the past week, have you ... - consumed cow's milk?","In the past week, have you ... - consumed tofu or meat-substitutes?","In the past week, have you ... - consumed a non-dairy milk alternative?","In the past week, have you ... - consumed oat milk?","In the past week, have you ... - eaten a fully vegan diet?","In the past week, have you ... - drank water from a disposable water bottle while away from your home?","In the past week, have you ... - drank water from disposable water bottles while at home?","In the past week, have you ... - drank filtered or unfiltered tap water at home?","In the past week, have you ... - drank a non-water beverage from a disposable plastic bottle?","In the past week, have you ... - carried a reusable water bottle with you?","In the past week, have you ... - used a reusable coffee/tea travel thermos?","In the past week, have you ... - used a disposable coffee/tea cup?","In the past week, have you ... - declined a bag at the register?","In the past week, have you ... - brought reusable bags to a store?","In the past week, have you ... - used a disposable bag at a store?","In the past week, have you ... - brought your own containers for leftovers or takeout to a restaurant?","In the past week, have you ... - carried reusable utensils or straws while you were away from home?","In the past week, have you ... - used a disposable plate?","In the past week, have you ... - used reusable washcloths or rags for household cleaning?","In the past week, have you ... - used reusable cloth napkins?","In the past week, have you ... - used plastic wrap or new ziploc bags?","In the past week, have you ... - Please leave this question blank.","In the past week, have you ... - used paper towels?","In the past week, have you ... - purchased a product with reduced plastic packaging instead of an option with more plastic packaging?","In the past week, have you ... - chosen glass or aluminum packaged products over plastic packaged products?","In the past week, have you ... - chosen aluminum packaged products over glass packaged products (e.g., aluminum cans vs. glass bottles)?","In the past week, have you ... - recycled glass, plastic, or metal containers?","In the past week, have you ... - recycled paper, cardboard, or cardstock?","In the past week, have you ... - picked up something off of a curb or dumpster to use or recycle?","In the past week, have you ... - composted yard or food waste?","In the past week, have you ... - carried waste with you until you could find a recycling or compost bin instead of throwing it in the trash?","In the past week, have you ... - picked up litter?","In the past week, have you ... - foraged for wild, edible plants or mushrooms?","In the past week, have you ... - thrown away a piece of trash that could have been recycled?","In the past week, have you ... - pulled something recyclable out of a trash can even though it was not yours?","In the past week, have you ... - diluted soap or liquid products to expand their lifespan?","In the past week, have you ... - given away or sold an item instead of throwing it away?","In the past week, have you ... - repaired something instead of replacing it?","In the past week, have you ... - reused plastic or paper bags?","In the past week, have you ... - thrown away products before using them up?","In the past week, have you ... - thrown out food that had gone bad?","In the past week, have you ... - thrown out food that had not yet gone bad?","In the past week, have you ... - reused glass or plastic containers that were intended to be single-use (such as a glass beverage bottle or take-out container)?","In the past week, have you ... - bought a second-hand item?","In the past week, have you ... - passed on a product to a friend or family member after deciding it wasn’t working for you?","In the past week, have you ... - browsed or participated in a buy-nothing group?","In the past week, have you ... - chosen a slower shipping speed for package deliveries?","In the past week, have you ... - walked as a form of transportation?","In the past week, have you ... - biked as a form of transportation?","In the past week, have you ... - used public transportation?","In the past week, have you ... - carpooled?","In the past week, have you ... - Please leave this question blank.","In the past week, have you ... - driven alone?","In the past week, have you ... - ridden in a taxi/uber alone?","In the past week, have you ... - checked your tire pressure?","In the past week, have you ... - purchased clothing from an inexpensive fast fashion brand (such as H&M, Walmart, Target, Shein, Amazon, or otherwise)?","In the past week, have you ... - avoided buying anything except necessities (ie. food and essentials)?","In the past week, have you ... - put aside old clothing or belongings to donate or sell?","In the past week, have you ... - shopped for second hand clothing?","In the past week, have you ... - tried to buy an item second-hand instead of something new?","In the past week, have you purchased a product made from hemp (e.g., hemp fabric, CBD oil)?","In the past week, have you used a product made from hemp (e.g., hemp fabric, CBD oil)?","In the last five years, I have been affected by extreme weather events.","In the last five years, my friends or family have been affected by extreme weather events.","In the last five years, extreme weather events have had a financial impact on my life.","In the last five years, my plans have changed to accommodate extreme weather events.","In the last five years, I have had to prepare for an extreme weather event.","Have you personally experienced or been affected by a specific extreme weather event in the last five years? These can include hurricanes, tropical storms, tornadoes, wildfires, droughts, heat waves, blizzards, or floods, for example.","In the past 5 years, what types of extreme events have you experienced? Select all that apply. - Selected Choice","In the past 5 years, what types of extreme events have you experienced? Select all that apply. - Other - Text","In the past 5 years, how have you been affected by extreme weather events? Select all that apply: - Selected Choice","In the past 5 years, how have you been affected by extreme weather events? Select all that apply: - Other - Text","In the past 5 years, how many extreme weather events have negatively impacted you? (This could include changes to plans, financial impacts, high levels of stress, or health impacts)",Recall the most significant extreme weather event that affected you in the last five years. What type of event was it? - Selected Choice,Recall the most significant extreme weather event that affected you in the last five years. What type of event was it? - Other - Text,In what year did this event occur?,"In what month did this event occur? This does not have to be precise, but please try to be as accurate as possible.","How severely did this extreme weather event affect you? - 0 is not at all, 10 is extreme impact",What was the total value of the damage that it caused (before any insurance payments)?,What was the amount you were liable for after insurance payments?,Do you believe that climate change increases the frequency of extreme weather events in the United States?,Do you believe that climate change increases the severity of extreme weather events in the United States?,Hurricanes and flooding are linked to the changing climate.,Wildfires are becoming more common because of warming temperatures.,Droughts and water shortages are related to warming temperatures.,The extreme weather event that I experienced would not have occurred without climate change.,The extreme weather event that I experienced was more intense because of climate change.,The extreme weather event that I experienced was not related to climate change.,The extreme weather event that I experienced affected more people than usual because of climate change.,Climate change had nothing to do with the extreme weather event that I experienced.,The place I grew up is now different because of climate change.,Climate change has affected my community.,The effects of climate change are already visible.,"Please select ""Agree"". This is an attention check.",Climate change will probably not affect me personally.,Climate change has affected my daily life.,"I worry that my quality of life, or that of my children, will decline in the future because of climate change.",I am comfortable knowing that climate change will not have much of an impact on the United States.,I am concerned that our actions today will make life worse for others in the future.,I am concerned that climate change could lead to political turmoil.,I am concerned about the economic impacts of climate change.,"In my community, people conserve their home energy use.",The people who are important to me avoid driving when possible.,"In my community, people avoid eating meat.","Please select ""Agree"". This is an attention check.",The people close to me disapprove of wasting energy.,The people who are important to me are concerned about climate change.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID48""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID1214048559_7""}","{""ImportId"":""QID1214048559_6""}","{""ImportId"":""QID1214048559_9""}","{""ImportId"":""QID1214048559_11""}","{""ImportId"":""QID1214048559_10""}","{""ImportId"":""QID1214048785""}","{""ImportId"":""QID1214048786_1""}","{""ImportId"":""QID1214048786_2""}","{""ImportId"":""QID1214048786_3""}","{""ImportId"":""QID1214048786_6""}","{""ImportId"":""QID1214048787_1""}","{""ImportId"":""QID1214048787_2""}","{""ImportId"":""QID1214048787_3""}","{""ImportId"":""QID1214048787_6""}","{""ImportId"":""QID1214048788_4""}","{""ImportId"":""QID1214048788_5""}","{""ImportId"":""QID1214048788_9""}","{""ImportId"":""QID1214048788_6""}","{""ImportId"":""QID1214048802_4""}","{""ImportId"":""QID1214048802_5""}","{""ImportId"":""QID1214048802_1""}","{""ImportId"":""QID1214048802_6""}","{""ImportId"":""QID1214048802_7""}","{""ImportId"":""QID1214048802_8""}","{""ImportId"":""QID1214048802_9""}","{""ImportId"":""QID1214048802_10""}","{""ImportId"":""QID1214048813_1""}","{""ImportId"":""QID1214048813_2""}","{""ImportId"":""QID1214048813_3""}","{""ImportId"":""QID1214048813_4""}","{""ImportId"":""QID1214048813_5""}","{""ImportId"":""QID1214048813_6""}","{""ImportId"":""QID1214048815_13""}","{""ImportId"":""QID1214048815_6""}","{""ImportId"":""QID1214048815_2""}","{""ImportId"":""QID1214048815_1""}","{""ImportId"":""QID1214048815_12""}","{""ImportId"":""QID1214048816_4""}","{""ImportId"":""QID1214048816_1""}","{""ImportId"":""QID1214048816_2""}","{""ImportId"":""QID1214048816_3""}","{""ImportId"":""QID1214048816_5""}","{""ImportId"":""QID1214048827_1""}","{""ImportId"":""QID1214048827_2""}","{""ImportId"":""QID1214048827_11""}","{""ImportId"":""QID1214048827_3""}","{""ImportId"":""QID1214048827_4""}","{""ImportId"":""QID1214048827_7""}","{""ImportId"":""QID1214048827_12""}","{""ImportId"":""QID1214048828_1""}","{""ImportId"":""QID1214048828_2""}","{""ImportId"":""QID1214048828_5""}","{""ImportId"":""QID1214048828_3""}","{""ImportId"":""QID1214048828_4""}","{""ImportId"":""QID1214048828_8""}","{""ImportId"":""QID1214048828_6""}","{""ImportId"":""QID1214048828_7""}","{""ImportId"":""QID1214048828_15""}","{""ImportId"":""QID1214048828_14""}","{""ImportId"":""QID1214048828_9""}","{""ImportId"":""QID1214048828_10""}","{""ImportId"":""QID1214048828_12""}","{""ImportId"":""QID1214048828_11""}","{""ImportId"":""QID1214048829_1""}","{""ImportId"":""QID1214048829_2""}","{""ImportId"":""QID1214048829_9""}","{""ImportId"":""QID1214048829_3""}","{""ImportId"":""QID1214048829_4""}","{""ImportId"":""QID1214048829_5""}","{""ImportId"":""QID1214048829_10""}","{""ImportId"":""QID1214048829_7""}","{""ImportId"":""QID1214048829_8""}","{""ImportId"":""QID1214048830_2""}","{""ImportId"":""QID1214048830_3""}","{""ImportId"":""QID1214048830_4""}","{""ImportId"":""QID1214048830_5""}","{""ImportId"":""QID1214048830_6""}","{""ImportId"":""QID1214048830_7""}","{""ImportId"":""QID1214048830_8""}","{""ImportId"":""QID1214048830_9""}","{""ImportId"":""QID1214048830_10""}","{""ImportId"":""QID1214048830_11""}","{""ImportId"":""QID1214048830_12""}","{""ImportId"":""QID1214048830_13""}","{""ImportId"":""QID1214048883_4""}","{""ImportId"":""QID1214048883_1""}","{""ImportId"":""QID1214048883_2""}","{""ImportId"":""QID1214048883_3""}","{""ImportId"":""QID1214048883_8""}","{""ImportId"":""QID1214048883_5""}","{""ImportId"":""QID1214048883_7""}","{""ImportId"":""QID1214048883_6""}","{""ImportId"":""QID1214048889_1""}","{""ImportId"":""QID1214048889_2""}","{""ImportId"":""QID1214048889_3""}","{""ImportId"":""QID1214048889_4""}","{""ImportId"":""QID1214048889_5""}","{""ImportId"":""QID197""}","{""ImportId"":""QID199""}","{""ImportId"":""QID206""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID96""}","{""ImportId"":""QID186""}","{""ImportId"":""QID186_8_TEXT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID97_7_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_8_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID188""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120""}","{""ImportId"":""QID100""}","{""ImportId"":""QID121""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132""}","{""ImportId"":""QID133""}","{""ImportId"":""QID135""}","{""ImportId"":""QID134""}","{""ImportId"":""QID136""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID191""}","{""ImportId"":""QID140""}","{""ImportId"":""QID141""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID152""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154""}","{""ImportId"":""QID192""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}"
4/3/2023 11:39,4/3/2023 11:39,Survey Preview,100,11,TRUE,4/3/2023 11:39,R_3RdzAmTz7RAlunD,NA,NA,NA,NA,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/4/2023 11:41,4/4/2023 11:41,Survey Preview,100,7,TRUE,4/4/2023 11:41,R_1l6umemJbpeLatL,NA,NA,NA,NA,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/12/2023 13:13,4/12/2023 13:13,Survey Preview,100,17,TRUE,4/12/2023 13:13,R_32IODsn7uqaMajG,NA,NA,NA,NA,preview,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/20/2023 8:37,4/20/2023 8:41,IP Address,100,213,TRUE,4/20/2023 8:41,R_2w5XW127Ma30kuP,NA,NA,NA,NA,anonymous,EN,0.899999976,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/24/2023 14:19,4/24/2023 14:20,IP Address,100,90,TRUE,4/24/2023 14:20,R_1rqddpoEZ9BYzu9,NA,NA,NA,NA,anonymous,EN,1,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/20/2023 8:41,4/20/2023 8:51,IP Address,98,577,FALSE,4/27/2023 8:51,R_vBnRk7cWL6iZnNf,NA,NA,NA,NA,anonymous,EN,1,Yes,NA,No,No,No,Yes,No,"Yes, heated",Yes,Yes,No,No,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,NA,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,NA,NA,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,NA,Yes,No,No,No,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,"Hurricane,Drought,Heat wave",NA,"Experienced property damage,Sheltered in place,Experienced heavy smoke from wildfires,High levels of anxiety or stress",NA,3,Heat wave,NA,2021,August,6,$0,NA,Yes,Yes,NA,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,NA,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,NA,Agree,Strongly agree
5/2/2023 12:20,5/2/2023 12:23,Survey Preview,100,161,TRUE,5/2/2023 12:23,R_eEEqXwPbsO8AJpv,NA,NA,NA,NA,preview,EN,1,Yes,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,NA,NA
5/2/2023 12:43,5/2/2023 12:49,IP Address,100,395,TRUE,5/2/2023 12:49,R_2BxPtzrIKy7gSi5,NA,NA,NA,NA,anonymous,EN,0.899999976,Yes,601,Yes,No,No,No,No,"Yes, heated",Yes,Yes,Yes,No,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,NA,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,NA,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree
