StartDate.2a,EndDate.2a,Status.2a,Progress.2a,duration.2a,Finished.2a,RecordedDate.2a,Q_RecaptchaScore.2a,consent.2a,prolificID,enviroID4,efficacy5,efficacy6,ccBelief1,ccBelief2,ccBelief3,ccBelief4,ccBelief5,age,gender,genderOther,race,raceOther,education,rurality,income,children,election,politics,BIPOC,dictatorGame,waterWashingNotFull_r.2a,waterDishNotFull_r.2a,waterShowerStop_.2a,waterTeethStop_.2a,waterLawn_r.2a,homeClothesCold_.2a,homeClothesHang_.2a,homeClothesDryer_r.2a,homeLightsOff_.2a,socialCritical_r.2a,socialSupportive_.2a,socialReduceImpact_.2a,socialOutside_.2a,socialDocumentary_.2a,socialRead_.2a,socialGroup_.2a,socialConversation_.2a,foodOrganicVeg_.2a,foodLocal_.2a,foodGarden_.2a,foodOwnLunch_.2a,foodForage_.2a,foodRefrainedDistance_.2a,foodMeat_r.2a,foodBeef_r.2a,foodLunchNoMeat_.2a,foodDinnerNoMeat_.2a,foodMeatEveryDay_r.2a,foodCowMilk_r.2a,foodTofu_.2a,foodNonDairyMilk_.2a,foodOatMilk_.2a,foodVegan_.2a,packDisposableWaterAway_r.2a,packDisposableWaterHome_r.2a,packTapWaterHome_.2a,packNonWaterDisposable_r.2a,packReusableBottle_.2a,packReusableMug_.2a,packDisposableCoffee_r.2a,packDeclineBag_.2a,packReusableBag_.2a,packDisposableBag_r.2a,packContainerToRestaurant_.2a,packCarriedUtensils_.2a,packDisposablePlate_r.2a,packRags_.2a,packReusableNapkin_.2a,packZiploc_r.2a,packPaperTowel_r.2a,packReducedPlastic_.2a,packGlassAlumOverPlastic_.2a,packAlumOverGlass_.2a,packRecycledContainer_.2a,packRecycledPaper_.2a,packPickUpRecycle_.2a,packCompost_.2a,packCarriedTrash_.2a,packPickedUpLitter_.2a,packThrownAwayRecycling_r.2a,packPullRecycleFromTrash_.2a,packDilutedSoap_.2a,packGaveNotThrown_.2a,packRepaired_.2a,packReusedPaperPlasticBags_.2a,purchThrownAwayEarly_r.2a,foodThrownBadFood_r.2a,foodThrownGoodFood_r.2a,packReusedSingleUse_.2a,purchBoughtSecondHand_.2a,packGaveToFriend_.2a,purchBuyNothing_.2a,purchSlowShipping_.2a,transWalk_.2a,transBike_.2a,transPublic_.2a,transCarpool_.2a,transDrivenAlone_r.2a,transTaxiAlone_r.2a,transTirePressure_.2a,fashFast_r.2a,purchOnlyNecessities_.2a,fashPutAside_.2a,fashShoppedSecondHand_.2a,purchTriedSecondHand_.2a,enviroID1,enviroID2,enviroID3,greenGlow1,greenGlow2,greenGlow3,greenGlow4,efficacy1,efficacy2,efficacy3,efficacy4,p.fit.2a,p.df.2a,p.outfitMSQ.2a,p.infitMSQ.2a,p.outfitZ.2a,p.infitZ.2a,rebl_score.2a,StartDate.2b,EndDate.2b,Status.2b,Progress.2b,duration.2b,Finished.2b,RecordedDate.2b,Q_RecaptchaScore.2b,consent.2b,eweExpGen1,eweExpGen2,eweExpGen3,eweExpGen4,eweExpGen5,eweExpSpec,eweWhatTypes,eweWhatTypesText,eweAffectedHow,eweAffectedHowText,eweHowMany,eweSigType,eweSigTypeText,eweSigYear,eweSigMonth,eweSigSeverity,eweSigCostPreIns,eweSigCostPostIns,attributionGen1,attributionGen2,attributionGen3,attributionGen4,attributionGen5,attributionSpec1,attributionSpec2,attributionSpec3,attributionSpec4,attributionSpec5,psychDist1,psychDist2,psychDist3,psychDist4,psychDist5,worry1,worry2,worry3,worry4,worry5,socialNorms1,socialNorms2,socialNorms3,socialNorms4,socialNorms5,waterWashingNotFull_r.2b,waterDishNotFull_r.2b,waterShowerStop_.2b,waterTeethStop_.2b,waterLawn_r.2b,homeClothesCold_.2b,homeClothesHang_.2b,homeClothesDryer_r.2b,homeLightsOff_.2b,socialCritical_r.2b,socialSupportive_.2b,socialReduceImpact_.2b,socialOutside_.2b,socialDocumentary_.2b,socialRead_.2b,socialGroup_.2b,socialConversation_.2b,foodOrganicVeg_.2b,foodLocal_.2b,foodGarden_.2b,foodOwnLunch_.2b,foodForage_.2b,foodRefrainedDistance_.2b,foodMeat_r.2b,foodBeef_r.2b,foodLunchNoMeat_.2b,foodDinnerNoMeat_.2b,foodMeatEveryDay_r.2b,foodCowMilk_r.2b,foodTofu_.2b,foodNonDairyMilk_.2b,foodOatMilk_.2b,foodVegan_.2b,packDisposableWaterAway_r.2b,packDisposableWaterHome_r.2b,packTapWaterHome_.2b,packNonWaterDisposable_r.2b,packReusableBottle_.2b,packReusableMug_.2b,packDisposableCoffee_r.2b,packDeclineBag_.2b,packReusableBag_.2b,packDisposableBag_r.2b,packContainerToRestaurant_.2b,packCarriedUtensils_.2b,packDisposablePlate_r.2b,packRags_.2b,packReusableNapkin_.2b,packZiploc_r.2b,packPaperTowel_r.2b,packReducedPlastic_.2b,packGlassAlumOverPlastic_.2b,packAlumOverGlass_.2b,packRecycledContainer_.2b,packRecycledPaper_.2b,packPickUpRecycle_.2b,packCompost_.2b,packCarriedTrash_.2b,packPickedUpLitter_.2b,packThrownAwayRecycling_r.2b,packPullRecycleFromTrash_.2b,packDilutedSoap_.2b,packGaveNotThrown_.2b,packRepaired_.2b,packReusedPaperPlasticBags_.2b,purchThrownAwayEarly_r.2b,foodThrownBadFood_r.2b,foodThrownGoodFood_r.2b,packReusedSingleUse_.2b,purchBoughtSecondHand_.2b,packGaveToFriend_.2b,purchBuyNothing_.2b,purchSlowShipping_.2b,transWalk_.2b,transBike_.2b,transPublic_.2b,transCarpool_.2b,transDrivenAlone_r.2b,transTaxiAlone_r.2b,transTirePressure_.2b,fashFast_r.2b,purchOnlyNecessities_.2b,fashPutAside_.2b,fashShoppedSecondHand_.2b,purchTriedSecondHand_.2b,p.fit.2b,p.df.2b,p.outfitMSQ.2b,p.infitMSQ.2b,p.outfitZ.2b,p.infitZ.2b,rebl_score.2b,rebl_score_link_sl
2023-05-02,2023-05-02,IP Address,100,558,True,2023-05-02T15:39:28Z,0.699999988079071,Yes,5484620efdf99b0379939c6a,4,3,5,4,5,4,1,5,59.5,0,NA,white,NA,0,Rural,12500,0,I did not vote in the last election,Somewhat conservative,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,4,4,4,5,5,4,4,3,1,5,4.756144917056697,24,0.19817270487736238,0.6475662258130382,0.3360458660609561,-0.6473517983446133,-3.7059794834995996,2023-05-19,2023-05-19,IP Address,100,772,True,2023-05-19T20:06:54Z,0.8999999761581421,Yes,5,5,1,3,1,1,"Heat wave,Winter storm or blizzard",NA,"Sheltered in place,Friends or family were affected",NA,NA,Winter storm or blizzard,NA,2020,January,1,NA,NA,0,0,3,1,3,1,1,5,1,5,1,1,1,5,1,1,5,4,4,4,3,3,3,5,3,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,31.22901246163032,24,1.30120885256793,1.2937974092515483,0.9803858802186941,0.7039535685044025,-3.745038660164162,-3.7134693508828485
2023-05-02,2023-05-02,IP Address,100,608,True,2023-05-02T15:08:20Z,1,Yes,549b8ef4fdf99b4ffa5fa0c9,4,1,4,3,3,3,2,3,49.5,1,NA,white,NA,0,Suburban,75000,1,Biden/Harris,Somewhat conservative,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,4,4,4,4,4,2,3,3,4,4,11.956557844776919,24,0.4981899101990383,0.714073001575417,-1.0097004378141328,-1.0146831146733457,-0.19480938115299828,2023-05-22,2023-05-22,IP Address,100,670,True,2023-05-22T00:58:26Z,0.8999999761581421,Yes,4,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,4,NA,NA,NA,NA,NA,2,2,3,3,4,3,2,5,4,4,2,2,0,3,3,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,8.409233646710792,24,0.35038473527961633,0.5588238766115996,-1.2248900267711271,-1.6031476074007691,-0.8020396565512473,-0.7940143392988374
2023-05-02,2023-05-02,IP Address,100,601,True,2023-05-02T15:21:23Z,1,Yes,5589565cfdf99b6bd06016dc,4,5,6,5,6,6,6,0,59.5,1,NA,white,NA,0,Suburban,12500,2,Biden/Harris,Liberal,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4,4,4,1,6,4,1,5,21.742858994524727,24,0.905952458105197,1.0571205010676843,0.30391711347103634,0.27781058666649444,-2.201377483475753,2023-05-20,2023-05-20,IP Address,100,847,True,2023-05-20T08:25:23Z,1,Yes,5,5,0,1,5,1,"Hurricane,Tropical storm",NA,"Made plans to evacuate, but did not have to follow through,High levels of anxiety or stress",NA,1,Hurricane,NA,2019,August,3,$0,$0,1,1,5,6,6,5,5,0,5,0,0,2,4,0,2,5,0,6,5,5,5,0,0,5,4,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,26.702219949619092,24,1.1125924979007955,1.3005117103771329,0.38177126267814737,0.9892330714807808,-0.8020396565512473,-0.7940143392988374
2023-05-02,2023-05-02,IP Address,100,524,True,2023-05-02T15:42:14Z,1,Yes,558de4bffdf99b0cad9683ba,6,4,6,6,6,6,6,0,59.5,1,NA,white,NA,0,Suburban,12500,2,Biden/Harris,Very liberal,0,5,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,16.373185214319683,24,0.6822160505966535,0.8644103487426715,-0.509116503629474,-0.4000897900949517,-0.19480938115299828,2023-05-20,2023-05-20,IP Address,100,657,True,2023-05-20T05:51:44Z,1,Yes,6,6,5,5,6,1,"Hurricane,Heat wave",NA,"Made plans to evacuate, but did not have to follow through,Sheltered in place,High levels of anxiety or stress,Canceled plans to travel,Friends or family were affected",NA,3,Hurricane,NA,2018,October,9,$0,$0,1,1,6,6,6,5,5,0,6,0,4,5,5,0,5,6,0,6,5,6,4,2,1,5,6,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,8.33822376627668,24,0.3474259902615284,0.5533170368963105,-1.234543019462043,-1.6294196158220848,-0.8020396565512473,-0.7940143392988374
2023-05-02,2023-05-02,IP Address,100,1545,True,2023-05-02T16:31:28Z,1,Yes,558fd02cfdf99b39cb035e5d,1,1,2,6,6,6,4,0,49.5,0,NA,white,NA,0,Rural,37500,0,Biden/Harris,Liberal,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,1,3,3,3,1,2,1,1,3,5.135339486713421,24,0.2139724786130592,0.41322139710082534,-0.6496305961985953,-2.1183259169713584,-2.201377483475753,2023-05-19,2023-05-19,IP Address,100,416,True,2023-05-19T20:26:26Z,1,Yes,5,5,3,1,4,1,"Heat wave,Winter storm or blizzard",NA,High levels of anxiety or stress,NA,NA,Heat wave,NA,2022,August,6,NA,NA,1,1,6,6,6,5,6,0,5,0,4,4,5,0,4,6,0,5,6,6,1,0,0,2,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.200345140464159,24,0.21668104751933995,0.42635014307907165,-0.5900929671660786,-2.024706201410317,-2.218823080460091,-2.19946349581641
2023-05-02,2023-05-02,IP Address,100,595,True,2023-05-02T15:59:09Z,1,Yes,55900dcffdf99b3f7aada3f5,5,5,5,5,6,5,5,1,69.5,0,NA,white,NA,1,Suburban,12500,2,Biden/Harris,Liberal,0,2,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,37.6397315560673,24,1.5683221481694707,1.289349044338934,1.012205313110783,0.9611408821632119,-0.7993243569416129,2023-05-20,2023-05-20,IP Address,100,854,True,2023-05-20T10:32:32Z,1,Yes,5,5,4,5,6,1,"Wildfire,Drought,Heat wave,Other",Ice storm,"Evacuated,Sheltered in place,Experienced heavy smoke from wildfires,High levels of anxiety or stress,Canceled plans to travel,Friends or family were affected",NA,5 or more,Wildfire,NA,2021,September,7,NA,NA,1,1,4,5,5,4,5,2,4,2,4,4,4,1,4,5,1,5,5,5,4,4,2,5,5,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,18.18193951149188,24,0.7575808129788283,0.9415491438997089,-0.30504998141411366,-0.10867211050734808,-0.19172982415458065,-0.188586985561344
2023-05-02,2023-05-02,IP Address,100,683,True,2023-05-02T16:36:59Z,1,Yes,559c192bfdf99b218a61f57f,5,4,5,4,5,5,4,1,39.5,0,NA,asian,NA,1,Urban,150000,1,Biden/Harris,Liberal,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,6,5,5,5,5,5,5,5,5,5,5,27.566720560597382,24,1.1486133566915575,1.1231372607843895,0.44513018394111237,0.5083247970373622,-0.19480938115299828,2023-05-22,2023-05-22,IP Address,100,423,True,2023-05-22T12:33:52Z,1,Yes,4,4,3,2,5,1,"Tropical storm,Drought",NA,Sheltered in place,NA,2,Tropical storm,NA,2022,August,2,$0,$0,1,1,5,5,5,4,4,1,1,1,4,4,5,1,3,4,1,4,4,4,4,2,1,5,5,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,14.844848838957839,24,0.61853536828991,0.8239389456107786,-0.6331052029323908,-0.5493472885157316,-0.19172982415458065,-0.188586985561344
2023-05-02,2023-05-02,IP Address,100,495,True,2023-05-02T15:54:59Z,1,Yes,559fa17cfdf99b69c369d364,6,6,6,6,6,6,5,0,49.5,0,NA,white,NA,1,Urban,75000,0,Biden/Harris,Somewhat liberal,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,6,6,6,6,6,6,6,6,6,6,6,11.539801412456162,24,0.4808250588523401,0.6733536886879652,-0.952918856737384,-1.307106932248763,0.37839338384448384,2023-06-10,2023-06-10,IP Address,100,507,True,2023-06-10T00:52:19Z,1,Yes,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,NA,NA,NA,NA,NA,1,2,4,4,1,1,4,5,4,4,5,2,4,6,6,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,63.14056387384684,24,2.6308568280769515,0.9796276602508048,2.2434382097387675,0.020316370794351085,0.10023080454120682,0.10103795810487716
2023-05-02,2023-05-02,IP Address,100,746,True,2023-05-02T16:53:29Z,1,Yes,55abb1a5fdf99b501fab62e3,4,4,5,6,6,6,1,0,75,0,NA,white,NA,1,Urban,75000,0,Biden/Harris,Liberal,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,4,4,4,5,5,5,4,5,5,4,5,7.391194228162668,24,0.3079664261734445,0.4925292904405641,-1.2055034286814714,-1.860425680848256,-1.1201557733414802,2023-05-19,2023-05-19,IP Address,100,898,True,2023-05-19T20:02:07Z,1,Yes,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,NA,NA,NA,NA,NA,4,4,4,3,2,5,0,6,5,6,5,5,2,6,6,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,9.752907189288688,24,0.4063711328870287,0.6035156390055745,-1.0516700817814237,-1.3960604370239056,-0.8020396565512473,-0.7940143392988374
2023-05-02,2023-05-02,IP Address,100,598,True,2023-05-02T15:20:26Z,0.800000011920929,Yes,55b249bdfdf99b28e3c14b05,4,6,6,3,3,5,3,5,39.5,1,NA,black,NA,0,Suburban,37500,1,Biden/Harris,Very liberal,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,5,5,6,6,6,0,6,6,6,6,6.454337478711266,24,0.2689307282796361,0.5420107491971262,-0.5274119593838418,-1.50148394859315,-2.201377483475753,2023-05-20,2023-05-20,IP Address,100,817,True,2023-05-20T06:31:16Z,0.800000011920929,Yes,5,5,0,3,5,1,Tornado,NA,No significant impacts,NA,1,Tornado,NA,2020,April,4,$0,$0,1,1,6,6,6,6,6,3,6,0,0,0,6,5,0,0,6,4,5,5,6,4,0,5,4,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.00640138392904,24,0.37526672433037667,0.657565584516491,-0.5153448938010063,-1.0353991594218266,-1.8288507422997355,-1.8126109363613376
