StartDate,EndDate,Status,Progress,duration,Finished,RecordedDate,Q_RecaptchaScore,consent,prolificID,eweExpGen1,eweExpGen2,eweExpGen3,eweExpGen4,eweExpGen5,eweExpSpec,eweWhatTypes,eweWhatTypesText,eweAffectedHow,eweAffectedHowText,eweHowMany,eweSigType,eweSigTypeText,eweSigYear,eweSigMonth,eweSigSeverity,eweSigCostPreIns,eweSigCostPostIns,attributionGen1,attributionGen2,attributionGen3,attributionGen4,attributionGen5,attributionSpec1,attributionSpec2,attributionSpec3,attributionSpec4,attributionSpec5,psychDist1,psychDist2,psychDist3,psychDist4,psychDist5,worry1,worry2,worry3,worry4,worry5,socialNorms1,socialNorms2,socialNorms3,socialNorms4,socialNorms5,waterWashingNotFull_r,waterDishNotFull_r,waterShowerStop_,waterTeethStop_,waterLawn_r,homeClothesCold_,homeClothesHang_,homeClothesDryer_r,homeLightsOff_,socialCritical_r,socialSupportive_,socialReduceImpact_,socialOutside_,socialDocumentary_,socialRead_,socialGroup_,socialConversation_,foodOrganicVeg_,foodLocal_,foodGarden_,foodOwnLunch_,foodForage_,foodRefrainedDistance_,foodMeat_r,foodBeef_r,foodLunchNoMeat_,foodDinnerNoMeat_,foodMeatEveryDay_r,foodCowMilk_r,foodTofu_,foodNonDairyMilk_,foodOatMilk_,foodVegan_,packDisposableWaterAway_r,packDisposableWaterHome_r,packTapWaterHome_,packNonWaterDisposable_r,packReusableBottle_,packReusableMug_,packDisposableCoffee_r,packDeclineBag_,packReusableBag_,packDisposableBag_r,packContainerToRestaurant_,packCarriedUtensils_,packDisposablePlate_r,packRags_,packReusableNapkin_,packZiploc_r,packPaperTowel_r,packReducedPlastic_,packGlassAlumOverPlastic_,packAlumOverGlass_,packRecycledContainer_,packRecycledPaper_,packPickUpRecycle_,packCompost_,packCarriedTrash_,packPickedUpLitter_,packThrownAwayRecycling_r,packPullRecycleFromTrash_,packDilutedSoap_,packGaveNotThrown_,packRepaired_,packReusedPaperPlasticBags_,purchThrownAwayEarly_r,foodThrownBadFood_r,foodThrownGoodFood_r,packReusedSingleUse_,purchBoughtSecondHand_,packGaveToFriend_,purchBuyNothing_,purchSlowShipping_,transWalk_,transBike_,transPublic_,transCarpool_,transDrivenAlone_r,transTaxiAlone_r,transTirePressure_,fashFast_r,purchOnlyNecessities_,fashPutAside_,fashShoppedSecondHand_,purchTriedSecondHand_,p.fit,p.df,p.outfitMSQ,p.infitMSQ,p.outfitZ,p.infitZ,rebl_score,rebl_score_link_sl
2023-05-20,2023-05-20,IP Address,100,404,True,2023-05-20T09:42:13Z,1,Yes,53c04378fdf99b360e022d92,4,4,3,3,4,1,"Drought,Heat wave,Winter storm or blizzard,Other",wind storm,"High levels of anxiety or stress,Friends or family were affected",NA,5 or more,Other,wind storm,2020,May,5,$0,$0,1,1,6,6,6,5,6,0,6,0,5,6,6,0,6,6,0,6,6,6,3,1,2,3,4,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,41.36745499663621,24,1.7236439581931755,1.4640235454094275,1.171414965959314,1.414614235649318,-0.8020396565512473,-0.7940143392988374
2023-05-19,2023-05-19,IP Address,100,772,True,2023-05-19T20:06:54Z,0.8999999761581421,Yes,5484620efdf99b0379939c6a,5,5,1,3,1,1,"Heat wave,Winter storm or blizzard",NA,"Sheltered in place,Friends or family were affected",NA,NA,Winter storm or blizzard,NA,2020,January,1,NA,NA,0,0,3,1,3,1,1,5,1,5,1,1,1,5,1,1,5,4,4,4,3,3,3,5,3,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,31.22901246163032,24,1.30120885256793,1.2937974092515483,0.9803858802186941,0.7039535685044025,-3.745038660164162,-3.7134693508828485
2023-05-22,2023-05-22,IP Address,100,670,True,2023-05-22T00:58:26Z,0.8999999761581421,Yes,549b8ef4fdf99b4ffa5fa0c9,4,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,4,NA,NA,NA,NA,NA,2,2,3,3,4,3,2,5,4,4,2,2,0,3,3,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,8.409233646710792,24,0.35038473527961633,0.5588238766115996,-1.2248900267711271,-1.6031476074007691,-0.8020396565512473,-0.7940143392988374
2023-05-20,2023-05-20,IP Address,100,847,True,2023-05-20T08:25:23Z,1,Yes,5589565cfdf99b6bd06016dc,5,5,0,1,5,1,"Hurricane,Tropical storm",NA,"Made plans to evacuate, but did not have to follow through,High levels of anxiety or stress",NA,1,Hurricane,NA,2019,August,3,$0,$0,1,1,5,6,6,5,5,0,5,0,0,2,4,0,2,5,0,6,5,5,5,0,0,5,4,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,26.702219949619092,24,1.1125924979007955,1.3005117103771329,0.38177126267814737,0.9892330714807808,-0.8020396565512473,-0.7940143392988374
2023-05-20,2023-05-20,IP Address,100,657,True,2023-05-20T05:51:44Z,1,Yes,558de4bffdf99b0cad9683ba,6,6,5,5,6,1,"Hurricane,Heat wave",NA,"Made plans to evacuate, but did not have to follow through,Sheltered in place,High levels of anxiety or stress,Canceled plans to travel,Friends or family were affected",NA,3,Hurricane,NA,2018,October,9,$0,$0,1,1,6,6,6,5,5,0,6,0,4,5,5,0,5,6,0,6,5,6,4,2,1,5,6,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,8.33822376627668,24,0.3474259902615284,0.5533170368963105,-1.234543019462043,-1.6294196158220848,-0.8020396565512473,-0.7940143392988374
2023-05-19,2023-05-19,IP Address,100,416,True,2023-05-19T20:26:26Z,1,Yes,558fd02cfdf99b39cb035e5d,5,5,3,1,4,1,"Heat wave,Winter storm or blizzard",NA,High levels of anxiety or stress,NA,NA,Heat wave,NA,2022,August,6,NA,NA,1,1,6,6,6,5,6,0,5,0,4,4,5,0,4,6,0,5,6,6,1,0,0,2,2,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.200345140464159,24,0.21668104751933995,0.42635014307907165,-0.5900929671660786,-2.024706201410317,-2.218823080460091,-2.19946349581641
2023-05-20,2023-05-20,IP Address,100,854,True,2023-05-20T10:32:32Z,1,Yes,55900dcffdf99b3f7aada3f5,5,5,4,5,6,1,"Wildfire,Drought,Heat wave,Other",Ice storm,"Evacuated,Sheltered in place,Experienced heavy smoke from wildfires,High levels of anxiety or stress,Canceled plans to travel,Friends or family were affected",NA,5 or more,Wildfire,NA,2021,September,7,NA,NA,1,1,4,5,5,4,5,2,4,2,4,4,4,1,4,5,1,5,5,5,4,4,2,5,5,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,18.18193951149188,24,0.7575808129788283,0.9415491438997089,-0.30504998141411366,-0.10867211050734808,-0.19172982415458065,-0.188586985561344
2023-05-22,2023-05-22,IP Address,100,423,True,2023-05-22T12:33:52Z,1,Yes,559c192bfdf99b218a61f57f,4,4,3,2,5,1,"Tropical storm,Drought",NA,Sheltered in place,NA,2,Tropical storm,NA,2022,August,2,$0,$0,1,1,5,5,5,4,4,1,1,1,4,4,5,1,3,4,1,4,4,4,4,2,1,5,5,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,14.844848838957839,24,0.61853536828991,0.8239389456107786,-0.6331052029323908,-0.5493472885157316,-0.19172982415458065,-0.188586985561344
2023-06-10,2023-06-10,IP Address,100,507,True,2023-06-10T00:52:19Z,1,Yes,559fa17cfdf99b69c369d364,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,NA,NA,NA,NA,NA,1,2,4,4,1,1,4,5,4,4,5,2,4,6,6,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,63.14056387384684,24,2.6308568280769515,0.9796276602508048,2.2434382097387675,0.020316370794351085,0.10023080454120682,0.10103795810487716
2023-05-19,2023-05-19,IP Address,100,898,True,2023-05-19T20:02:07Z,1,Yes,55abb1a5fdf99b501fab62e3,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,6,6,NA,NA,NA,NA,NA,4,4,4,3,2,5,0,6,5,6,5,5,2,6,6,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,9.752907189288688,24,0.4063711328870287,0.6035156390055745,-1.0516700817814237,-1.3960604370239056,-0.8020396565512473,-0.7940143392988374
