prolificID,age,gender,gender_other_text,race,race_other_text,education,rurality,income,children,election,politics,BIPOC,foodLocal_,foodLunchNoMeat_,foodMeat_r,foodOatMilk_,foodTofu_,foodVegan_,homeClothesCold_,homeClothesHang_,homeLightsOff_,packCarriedUtensils_,packCompost_,packContainerToRestaurant_,packPickedUpLitter_,packPullRecycleFromTrash_,packRags_,packReusableMug_,packReusedPaperPlasticBags_,purchBuyNothing_,socialDocumentary_,socialGroup_,socialRead_,socialSupportive_,waterShowerStop_,waterTeethStop_,p.fit,p.df,p.outfitMSQ,p.infitMSQ,p.outfitZ,p.infitZ,rebl_score
54247a37fdf99b691fb3846c,49.5,1,NA,white,NA,1,Urban,37500,1,Biden/Harris,Very liberal,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,11.862042781664806,24,0.4942517825693669,0.7482557216159056,-0.6207417260155546,-0.7722982365650909,-1.1259506861145137
55895b93fdf99b6bd06017c4,59.5,0,NA,black,NA,0,Suburban,12500,0,Trump/Pence,Very conservative,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,12.963008953460829,24,0.5401253730608678,0.7012118126193008,-0.5228464413620066,-0.9573839367578781,-1.1259506861145137
559ef308fdf99b2616ff2a4f,69.5,1,NA,white,NA,1,Suburban,150000,2,Biden/Harris,Very liberal,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,24.879434079460726,24,1.036643086644197,0.9463830769276309,0.26964332666924873,-0.0774124521574558,-0.8077443847840139
55a7f195fdf99b7508d7d886,39.5,1,NA,white,NA,1,Rural,75000,1,Trump/Pence,Very conservative,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,18.759190480455523,24,0.7816329366856468,0.9552949356252312,-0.08258501919306402,-0.03902155115720875,-1.1259506861145137
55b9a9b0fdf99b6906d2aba4,69.5,0,NA,white,NA,0,Rural,12500,2,Trump/Pence,Conservative,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,24.370158755492938,24,1.0154232814788724,0.887852266852844,0.2636060757629094,-0.26510017998576313,-1.1259506861145137
5638d3a544e8c8000ee869a2,39.5,0,NA,two_or_more,NA,0,Urban,75000,0,Biden/Harris,Liberal,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8.142621910359818,24,0.3392759129316591,0.5462051884518041,-1.005005835495704,-1.6332319447581052,-1.1259506861145137
5664641951fac700118ed23f,49.5,1,NA,two_or_more,NA,0,Rural,75000,1,Trump/Pence,Conservative,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,18.115426144233087,24,0.7548094226763786,0.9169126048809092,-0.2072552177991202,-0.17872866508463442,-0.8077443847840139
568b3f3e39a70e000c57aff1,29.5,0,NA,white,NA,1,Suburban,150000,0,Other,Conservative,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,31.372045639470212,24,1.3071685683112588,1.4620669813975435,0.614486968416595,1.31931117416932,-1.8173707266040662
569298838d93fe000dfa033c,69.5,1,NA,white,NA,1,Suburban,37500,2,Biden/Harris,Very liberal,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,26.86124904029973,24,1.1192187100124886,1.275994080260057,0.4185818581309597,0.8884540029746206,-1.4608909903463168
569916e4b0e16500050131b4,59.5,0,NA,white,NA,0,Rural,75000,2,Trump/Pence,Conservative,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,17.28689231901723,24,0.7202871799590512,0.8891409157199939,-0.08134052947144044,-0.24545202537421207,-1.4608909903463168
56ad40ce5ea7aa000cbe1947,59.5,0,NA,white,NA,1,Rural,37500,0,Biden/Harris,Liberal,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20.47166036085226,24,0.8529858483688441,1.1096777179998427,-0.029408148317386335,0.4489070401828453,-0.8077443847840139
57439a4354636a000d78639a,39.5,1,NA,white,NA,1,Suburban,150000,1,Biden/Harris,Somewhat liberal,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8.9838875682889,24,0.37432864867870413,0.6710639732516354,-0.26489083246329104,-0.9660334835368309,-2.202518334400096
5765dffd7805730001ecfcd0,39.5,0,NA,black,NA,0,Suburban,37500,1,Biden/Harris,Liberal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,24.51380980742855,24,1.0214087419761897,1.2282599443027424,0.3087300812412342,0.7622248528393085,-1.4608909903463168
578d3224900cc80001d2e704,39.5,0,NA,white,NA,0,Suburban,75000,0,Biden/Harris,Very liberal,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.681156651548464,24,0.3200481938145193,0.7421421888757311,-0.10344034217106501,-0.6602757170237068,-2.628446982009353
578e6c599bd3d70001e5057f,29.5,0,NA,asian,NA,1,Suburban,150000,0,Biden/Harris,Somewhat liberal,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,22.053804774028798,24,0.9189085322512,1.1010711984425041,0.036139637012879366,0.4386399098561056,-0.20769850738088053
57c304c04814b5000171d4ce,49.5,0,NA,white,NA,0,Suburban,150000,0,Trump/Pence,Conservative,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,15.751673277680602,24,0.6563197199033585,0.9068800358440897,-0.4019249933169664,-0.2137143626871318,-0.8077443847840139
57d0badf28d5250001bdd9d2,29.5,1,NA,hispanic,NA,0,Urban,75000,1,Biden/Harris,Very liberal,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.597918548590762,24,0.2749132728579484,0.6250011018385612,-0.16935156002477114,-1.0763615184194812,-2.628446982009353
57dd766bbcd7150001ded5de,49.5,0,NA,white,NA,1,Suburban,37500,0,Trump/Pence,Moderate,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21.058181441479245,24,0.8774242267283019,1.5005788764093744,0.21307056638148922,1.4076884846985032,-1.8173707266040662
5808f958b648e600016375dd,49.5,0,NA,white,NA,0,Suburban,12500,1,Biden/Harris,Liberal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70.30639897190866,24,2.929433290496194,1.746165455155469,1.3127911823262006,1.6414127729591703,-3.118777075742129
581649f0b434f0000184d2a9,29.5,1,NA,white,NA,1,Suburban,200000,0,Biden/Harris,Liberal,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,8.099310232605776,24,0.33747125969190733,0.5429083368319865,-1.0101140608940982,-1.648922623953452,-1.1259506861145137
581b738a930a280001062c6a,39.5,1,NA,white,NA,1,Suburban,75000,1,Trump/Pence,Conservative,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,35.50956039382448,24,1.4795650164093532,0.9689832821725185,0.750643400136666,0.024426075005945402,-2.202518334400096
5883f627f43bd10001361c23,29.5,1,NA,hispanic,NA,0,Rural,37500,1,Biden/Harris,Moderate,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.033782431522336,24,0.25140760131343065,0.6816154059488204,0.09804134237666184,-0.7488890069544027,-3.118777075742129
588e251908e6b200011a7253,39.5,1,NA,white,NA,1,Suburban,75000,2,Biden/Harris,Liberal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,17.60625794778928,24,0.7335940811578867,0.958782302067904,-0.33654378379321803,-0.06231585624669708,0.07977847282187815
58e558cc728bea0001bbda24,69.5,1,NA,white,NA,0,Rural,37500,2,Trump/Pence,Somewhat conservative,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,6.877427480021291,24,0.28655947833422046,0.46910614422979185,-0.9169722173216751,-1.9465125063356803,-1.4608909903463168
592f09f14217c40001a76e8e,49.5,0,NA,white,NA,0,Urban,37500,0,Biden/Harris,Liberal,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.962415292185157,24,0.24843397050771487,0.4959004193795867,-0.48810527261302483,-1.6952450321926391,-2.202518334400096
599467b55f49420001cafa81,49.5,1,NA,white,NA,0,Urban,37500,2,Trump/Pence,Moderate,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,10.458216329291043,24,0.4357590137204601,0.7233366873137099,-0.5685901223861656,-0.8345768959019084,-1.4608909903463168
599da50e17c03c000151b18b,49.5,1,NA,white,NA,0,Suburban,75000,2,Biden/Harris,Moderate,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,16.067970439506997,24,0.6694987683127915,0.8786502918327965,-0.3587267029771263,-0.42333214855515483,0.6432292650213549
599ec7dc617ca80001fcd124,59.5,0,NA,white,NA,1,Urban,150000,2,Trump/Pence,Somewhat conservative,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,57.46647556126217,24,2.394436481719257,1.3093436812031247,1.9910177956934116,1.1248013497632954,0.07977847282187815
59c3eeac05da9d0001402bcd,39.5,1,NA,white,NA,0,Suburban,12500,1,Trump/Pence,Moderate,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,15.118749859155232,24,0.6299479107981346,0.888056454328684,-0.5749271530755666,-0.33582896307499815,0.07977847282187815
59c41e340c5fc800011940f3,59.5,0,NA,white,NA,0,Rural,37500,2,Trump/Pence,Very conservative,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,11.193910774175308,24,0.46641294892397117,0.7518507072823635,-0.5073546754509408,-0.7272741931924652,-1.4608909903463168
59e7d3f97f3d71000171def0,39.5,0,NA,white,NA,0,Urban,75000,0,I did not vote in the last election,Moderate,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,31.262431667522655,24,1.3026013194801107,0.6802053883452066,0.6084020462438755,-1.0023820048665029,-1.4608909903463168
5a00a8160fff620001a6b776,49.5,1,NA,white,NA,1,Suburban,37500,0,Biden/Harris,Liberal,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,15.516000642798968,24,0.6465000267832903,0.8921657599250138,-0.3154645696450512,-0.25030442892314203,-1.1259506861145137
5a233c5d7413810001521d8f,29.5,0,NA,two_or_more,NA,1,Suburban,75000,1,Trump/Pence,Very conservative,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,13.152023247803475,24,0.5480009686584781,0.9606533832799301,-0.19711921216329908,-0.007118527331023375,-1.8173707266040662
5a59305aeedc320001427f5f,69.5,0,NA,white,NA,1,Suburban,75000,0,Biden/Harris,Very liberal,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,7.318296521000719,24,0.3049290217083633,0.48731883322552927,-1.1055276449349183,-1.9236249043465377,-1.1259506861145137
5a68c8ec63394a000155cbb9,49.5,1,NA,white,NA,1,Suburban,75000,2,Biden/Harris,Somewhat liberal,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,21.75687047103915,24,0.9065362696266313,1.130857940786489,0.1703557798393399,0.494127656698209,-1.4608909903463168
5a9867476219a30001d3368e,59.5,0,NA,white,NA,0,Rural,75000,2,Biden/Harris,Liberal,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,14.403827649501807,24,0.6001594853959086,0.8050712903062701,-0.5919519831861492,-0.7165700932993344,0.3624464812693238
5add6b6aeb60400001536f2c,69.5,1,NA,black,NA,0,Urban,12500,2,Biden/Harris,Liberal,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,11.116152782292264,24,0.463173032595511,0.7725566214645894,-0.13632150697519485,-0.6005924738478602,-2.202518334400096
5aee513f3606ab0001b92b29,39.5,0,NA,white,NA,0,Urban,37500,0,Biden/Harris,Liberal,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10.990491426447573,24,0.4579371427686489,0.7571360308614122,-0.5240110355021448,-0.7076841268523743,-1.4608909903463168
