name,text,survey
StartDate,Start Date,survey_1
EndDate,End Date,survey_1
Status,Response Type,survey_1
Progress,Progress,survey_1
duration,Duration (in seconds),survey_1
Finished,Finished,survey_1
RecordedDate,Recorded Date,survey_1
ResponseId,Response ID,survey_1
ExternalReference,External Data Reference,survey_1
DistributionChannel,Distribution Channel,survey_1
UserLanguage,User Language,survey_1
Q_RecaptchaScore,Q_RecaptchaScore,survey_1
consent,"Title of Study: A Survey of Recent Consumer Habits and Behavior 



Principal Investigator (PI): Dr. Trisha R. Shrum



Funder: USDA Hatch Research Grant



Introduction

You are being invited to take part in this research study because we want to understand recent daily habits and consumer behavior of adults in the US. This study is being conducted by Dr. Shrum at the University of Vermont.



Purpose

The purpose of this survey is to help develop a behavioral scale to better understand motivations for consumer behavior.



Study Procedures

If you take part in the study, you will be asked to take a survey. The survey questions ask whether or not you have done a large number of common consumer behaviors in the past week. We will also collect basic demographic information, attitudes, and general values. You can skip demographic, attitudes, and values questions that you do not feel comfortable answering. The study will take about 10 minutes to complete in a single session.



Benefits

As a participant in this research study, there may not be direct benefit for you; however, information from this study may benefit other people now or in the future.



Risks

Your participation in this study involves minimal foreseeable risks. We will not collect any information that will identify you to protect your confidentiality.



Costs 

There will be no costs to you for participation in this research study.



Compensation

For taking part in this research study, you will be reimbursed for your time as specified in the Prolific recruitment process.



Confidentiality

All information collected about you during the course of this study will be stored without any identifiers. No one will be able to match you to your answers.



Voluntary Participation/Withdrawal

Taking part in this study is voluntary. You are free to not answer any questions or withdraw at any time. You may choose not to take part in this study, or if you decide to take part, you can change your mind later and withdraw from the study.



Questions If you have any questions about this study now or in the future, you may contact me, Dr. Trisha Shrum at the following phone number: (802) 656-8117. If you have questions or concerns about your rights as a research participant, then you may contact the Director of the Research Protections Office at (802) 656-5040. It is recommended you print or save a pdf of this information sheet for your records before continuing.
Do you consent to the conditions of this survey?",survey_1
prolificID,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID",survey_1
waterShortShower_,"In the past week, have you ... - taken short showers (less than 10 minutes)?",survey_1
waterDailyShower_r,"In the past week, have you ... - showered at least once a day?",survey_1
waterFewerShowers_,"In the past week, have you ... - showered every other day or less?",survey_1
waterLawn_r,"In the past week, have you ... - watered your lawn?",survey_1
waterGarden_r,"In the past week, have you ... - watered your garden?",survey_1
waterDishNotFull_r,"In the past week, have you ... - run the dishwasher without a full load?",survey_1
waterWashingNotFull_r,"In the past week, have you ... - run the washing machine without a full load?",survey_1
