rebl_item,surveys,peb_coding,question_text
fashBoughtNew_r,1,reverse,"In the past week, have you ... - purchased new clothing?"
fashClothingSwap_,1,standard,"In the past week, have you ... - hosted or attended a clothing swap?"
fashFast_r,"1, 2a, 2b",reverse,"In the past week, have you ... - purchased clothing from an inexpensive fast fashion brand (such as H&M, Walmart, Target, Shein, Amazon, or otherwise)?"
fashMend_,1,standard,"In the past week, have you ... - mended clothing?"
fashOnlineReturn_r,1,reverse,"In the past week, have you ... - returned an online clothing purchase?"
fashPutAside_,"1, 2a, 2b",standard,"In the past week, have you ... - put aside old clothing or belongings to donate or sell?"
fashRepairable_,1,standard,"In the past week, have you ... - make an effort to buy repairable clothing?"
fashReturn_r,1,reverse,"In the past week, have you ... - returned a piece of clothing that you had purchased?"
fashShoppedSecondHand_,"1, 2a, 2b",standard,"In the past week, have you ... - shopped for second hand clothing?"
fashSustainable_,1,standard,"In the past week, have you ... - chosen sustainably produced clothing over conventionally produced clothing?"
foodAlmondMilk_,1,standard,"In the past week, have you ... - consumed almond milk?"
foodBeef_r,"1, 2a, 2b, 3",reverse,"In the past week, have you ... - eaten beef?"
foodCowMilk_r,1,reverse,"In the past week, have you ... - consumed cow’s milk?"
foodCowMilk_r,"2a, 2b",reverse,"In the past week, have you ... - consumed cow's milk?"
foodDinnerNoMeat_,"2a, 2b, 3",standard,"In the past week, have you ... - eaten at least one dinner without meat?"
foodDistanceRefrain_,1,standard,"In the past week, have you ... - refrained from making a food purchase because it was produced too far away?"
foodEggs_r,1,reverse,"In the past week, have you ... - consumed eggs?"
foodFishConventional_r,1,reverse,"In the past week, have you ... - chosen  conventional fish over sustainably raised fish?"
foodForage_,"2a, 2b, 3",standard,"In the past week, have you ... - foraged for wild, edible plants or mushrooms?"
foodForaged_V1_,1,standard,"In the past week, have you ... - eaten anything that was foraged (for example eaten edible plants from a forest or yard)?"
foodGarden_,1,standard,"In the past week, have you ... - consumed food from a personal or household garden?"
