rebl_item,surveys,peb_coding,question_text
foodLocal_,"2a, 2b",standard,"In the past week, have you ... - purchased locally produced food?"
foodLunchNoMeat_,"2a, 2b",standard,"In the past week, have you ... - eaten at least one lunch without meat?"
foodOatMilk_,"1, 2a, 2b",standard,"In the past week, have you ... - consumed oat milk?"
foodOrganicVeg_,"2a, 2b",standard,"In the past week, have you ... - purchased organic fruits or vegetables?"
foodOwnLunch_,"1, 2a, 2b",standard,"In the past week, have you ... - brought your own lunch to work or school?"
foodTofu_,"2a, 2b",standard,"In the past week, have you ... - consumed tofu or meat-substitutes?"
homeClothesCold_,"2a, 2b",standard,"In the past week, have you... - used the cold water setting to wash your clothes?"
homeClothesHang_,"2a, 2b",standard,"In the past week, have you... - hung clean clothes to dry?"
homeLightsOff_,"2a, 2b",standard,"In the past week, have you... - went around your house and turned off lights not in use?"
packCarriedUtensils_,"2a, 2b",standard,"In the past week, have you ... - carried reusable utensils or straws while you were away from home?"
packCompost_,"2a, 2b",standard,"In the past week, have you ... - composted yard or food waste?"
packPickedUpLitter_,"2a, 2b",standard,"In the past week, have you ... - picked up litter?"
packPullRecycleFromTrash_,"1, 2a, 2b",standard,"In the past week, have you ... - pulled something recyclable out of a trash can even though it was not yours?"
packRags_,"2a, 2b",standard,"In the past week, have you ... - used reusable washcloths or rags for household cleaning?"
packReusableBottle_,"2a, 2b",standard,"In the past week, have you ... - carried a reusable water bottle with you?"
packReusableMug_,"2a, 2b",standard,"In the past week, have you ... - used a reusable coffee/tea travel thermos?"
packReusedPaperPlasticBags_,"1, 2a, 2b",standard,"In the past week, have you ... - reused plastic or paper bags?"
purchBuyNothing_,"1, 2a, 2b",standard,"In the past week, have you ... - browsed or participated in a buy-nothing group?"
socialDocumentary_,"2a, 2b",standard,"In the past week, have you ... - watched a nature documentary?"
socialGroup_,2a,standard,"In the past week, have you ... - participated in a community group focused on environmental issues facing your community?"
socialGroup_,2b,standard,"In the past week, have you ... - participated in a community group or communicated with others about environmental issues facing your community?"
socialRead_,"2a, 2b",standard,"In the past week, have you ... - read about wildlife, nature, or environmental issues?"
socialSupportive_,"1, 2a, 2b",standard,"In the past week, have you ... - posted any information, articles, or content that are supportive of policies or practices aimed at protecting the environment or promoting sustainability?"
transPublic_,"1, 2a, 2b",standard,"In the past week, have you ... - used public transportation?"
transWalk_,"1, 2a, 2b",standard,"In the past week, have you ... - walked as a form of transportation?"
waterShowerStop_,"1, 2a, 2b",standard,"In the past week, have you ... - turned off the water in the middle of a shower (e.g. while soaping up, shaving, etc.)?"
waterTeethStop_,"2a, 2b",standard,"In the past week, have you ... - turned off the water while brushing your teeth?"
