rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
foodLocal,0.4367436743674367,866.8050955327232,909,0.9535809631823137,0.9567827076052919,-1.16333108672915,-1.6634610132527041,0.37990090004441607,NA,NA
foodLunchNoMeat,0.8261826182618262,1164.0132524394828,909,1.2805426319466258,0.9850711003955058,2.8410828413711693,-0.26545799750797355,0.20076273226664143,-2.317720647661603,0.09040929829299575
foodOatMilk,0.1419141914191419,789.8897590576914,909,0.8689656315266132,0.9629068053335511,-1.223408244265071,-0.5748694017176521,0.28481072357377957,1.4397836157242443,0.09753994317700838
foodOrganicVeg,0.47744774477447743,808.5790368920035,909,0.8895258931705209,0.9244312700304732,-2.985521992887984,-3.049416778033053,0.42181306650157324,-0.4761625228018417,0.07065609095264837
foodOwnLunch,0.46864686468646866,885.7534464633084,909,0.9744262337330125,0.9949305490766606,-0.6564233254257326,-0.1907481843041676,0.3310624177186098,-0.4360239271636906,0.07071435383177566
foodTofu,0.17271727172717272,859.803764244061,909,0.9458787285413212,0.9683274343250055,-0.5558161001241536,-0.5685147031462315,0.2934754770458921,1.1841944591421185,0.09066651976960381
homeClothesCold,0.6941694169416942,954.090829031322,909,1.0496048724216964,0.9886608919683174,0.8970043860305693,-0.3285747457993521,0.27179156547614247,-1.503658452507611,0.0758745523918328
homeClothesHang,0.38613861386138615,900.5277864939156,909,0.9906796331066179,0.9890118211759735,-0.19542134911305006,-0.37964921062987783,0.3378910733915035,-0.05196314967024629,0.07225942470282731
homeLightsOff,0.9306930693069307,975.1212081698199,909,1.0727406030471065,0.8796657754866685,0.4740446188763444,-1.2390207645456441,0.17227842297007331,-3.4231876632309874,0.13083872940972008
packCarriedUtensils,0.11221122112211221,822.9509052341402,909,0.9053365294104954,0.9256979438084735,-0.718839720075227,-1.0023642857232806,0.27925522592108515,1.7319087865280307,0.10699979843980459
packCompost,0.23102310231023102,890.0897563961182,909,0.9791966517009001,0.9880836072527658,-0.2601464819763512,-0.26122709478027073,0.2965088038043062,0.7806366711504542,0.08215856953736043
packPickedUpLitter,0.49174917491749176,880.7548687298371,909,0.9689272483276535,0.9873127161858776,-0.8125531115660374,-0.49647743846414943,0.35546023372726404,-0.5412525694809105,0.0706023361475069
packPullRecycleFromTrash,0.0737073707370737,693.6767294282137,909,0.7631207144424793,0.9056027758595909,-1.4801999611982242,-0.9684009121987531,0.2818091232740442,2.227992984983956,0.1276267524661408
packRags,0.7667766776677668,941.1360750242061,909,1.0353532178484115,0.9789279485029432,0.510504809233701,-0.49104356718844167,0.24515337395952483,-1.914589414640348,0.08189862082773494
packReusableBottle,0.5753575357535754,876.8538166866182,909,0.9646356619214722,0.98373921877002235,-0.8668529598288418,-0.6122099165093321,0.3464845344301556,-0.9233348452124813,0.07131426009309248
packReusableMug,0.40484048404840484,899.920029755903,909,0.9900110338348768,0.995393718314786,-0.22123414246146295,-0.15907810743132952,0.3310531492860146,-0.14078663833900165,0.07174158078494543
packReusedPaperPlasticBags,0.8602860286028603,864.5825690559446,909,0.9511359395554947,0.9410099431144292,-0.4242709330759225,-0.9465572952350966,0.23930313304566617,-2.5973543293154457,0.09804546158330138
purchBuyNothing,0.10451045104510451,822.1730830351717,909,0.9044808394226311,0.9519151188628454,-0.6880994345631292,-0.6020009985649604,0.26602140079762854,1.817970212121734,0.11014330041580225
socialDocumentary,0.23542354235423543,867.7465675267326,909,0.9546166859480006,0.9663590570717385,-0.6128856444318257,-0.7820744751185685,0.3219330976799949,0.7531715147874616,0.08167534072516448
socialGroup,0.0484048404840484,833.7810642270784,909,0.9172508957393603,0.9119759138086458,-0.32236771078847265,-0.6806056935733371,0.1970382528927628,2.700038371094665,0.15371597307684473
socialRead,0.49944994499449946,878.4464347910358,909,0.9663877170418436,0.9849214369343339,-0.8818905840043532,-0.5928579377538707,0.3679139110046726,-0.5762610840725966,0.07059425685712808
socialSupportive,0.08360836083608361,811.000577867678,909,0.8921898546399097,0.9113467435046384,-0.6675594616703866,-0.9855828859006229,0.2905381220666023,2.0822101193206115,0.12090985855056728
transPublic,0.12871287128712872,969.9613756890649,909,1.0670642196799394,0.9734564773866919,0.6006454236926861,-0.3740345578494587,0.22660127597826632,1.5628251216751419,0.10130467955166919
transWalk,0.4444444444444444,884.218389437505,909,0.9727375021314687,0.9837467151263445,-0.6813150706257912,-0.6197368459832718,0.3666147094888045,-0.32510135970143345,0.07097661035547109
waterShowerStop,0.15401540154015403,909.9029710150851,909,1.000993367453339,0.9868835087910909,0.04386192541781386,-0.20193620134519777,0.24412789930379503,1.334706766121909,0.09456420598561768
waterTeethStop,0.7953795379537953,903.3911778296089,909,0.9938296785804278,0.9671502247390144,-0.050099855572342394,-0.6957517317859352,0.2592889127996236,-2.0984526317825734,0.08543761331876129
