rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
foodLocal,0.4253246753246753,890.6770643597525,924,0.963936216839559,0.9682019640285421,-0.8476142846449692,-1.1964748115358899,0.34386982662778737,NA,NA
foodLunchNoMeat,0.816017316017316,958.4122466515953,924,1.0372426911813801,0.9749803014737723,0.45215035060270986,-0.48170103905216705,0.22477310766286254,-2.6669833101874674,0.08968301246342712
foodMeat,0.07792207792207792,877.4900977536714,924,0.9496646079585188,0.9640867625601903,-0.2534683795636864,-0.36274649165818845,0.2795834865281123,1.7382606184244629,0.12355350335122452
foodOatMilk,0.1461038961038961,885.3157635926688,924,0.9581339432821091,0.9872602158472447,-0.3520568405773867,-0.1920282894549249,0.2349931041392553,0.981647164212259,0.09604743953962101
foodTofu,0.19155844155844157,831.3273272440123,924,0.8997048996147319,0.9617801730885627,-1.13877453708215,-0.7704401443660167,0.328307820633244,0.6258530221132369,0.08727486017959932
foodVegan,0.023809523809523808,593.0948698441999,924,0.6418775647664502,0.9108008413712688,-1.1600945088043162,-0.4356773914342345,0.22060842038982625,3.0315357706376584,0.21098408538342686
homeClothesCold,0.6742424242424242,1005.1397097219935,924,1.0878135386601662,0.9952940152198265,1.6655082392974392,-0.13362695472903266,0.24140595110024946,-1.8172290994557705,0.07585760815629126
homeClothesHang,0.3647186147186147,870.2353204389624,924,0.9418131173581844,0.9708579354758511,-1.1982615581136182,-0.9938623252005014,0.3416454942280303,-0.3618089572287386,0.07351461716781599
homeLightsOff,0.922077922077922,828.547082568729,924,0.8966959768059838,0.8539318440726431,-0.627178369692058,-1.7047146519405547,0.18433858509291054,-3.7209260490686713,0.12462359005802959
packCarriedUtensils,0.10606060606060606,807.9538913666565,924,0.8744089733405374,0.9412311133089022,-0.9172478483663918,-0.7692239531651417,0.25082910579832896,1.3767232135996588,0.10874377145938754
packCompost,0.22727272727272727,784.996308774948,924,0.8495631047347922,0.9425781894703382,-2.034772132253975,-1.3484781732713487,0.32633660445328094,0.3872694286321073,0.08262586922731137
packContainerToRestaurant,0.0367965367965368,860.7341550830988,924,0.9315304708691545,0.886379305974103,-0.1879032340722418,-0.7673332250120051,0.21761196353134865,2.569460204683539,0.17233206797430892
packPickedUpLitter,0.5043290043290043,887.2090739576208,924,0.9601829804736156,0.9634485191383083,-1.0244254173616367,-1.4321920636012255,0.3462169076959409,-1.0112608290341598,0.0714509132532971
packPullRecycleFromTrash,0.0735930735930736,666.8794034106099,924,0.7217309560720887,0.8554660716821454,-1.7418718013459789,-1.5562785727001198,0.3076310303283946,1.8038014767116954,0.1266059061085155
packRags,0.7867965367965368,829.9200265546468,924,0.8981818469206134,0.9206295163109484,-1.3452058214696954,-1.7813658897301186,0.2983646428486154,-2.4641746479226025,0.08541059959148403
packReusableMug,0.40584415584415584,971.5487308494829,924,1.0514596654215183,1.0235482248831058,1.1620835739494366,0.8639604415824642,0.26801057599933314,-0.558494880116377,0.07235167988352253
packReusedPaperPlasticBags,0.841991341991342,856.2450565258603,924,0.9266721390972513,0.9067492684918582,-0.7358853079520458,-1.6900737024067858,0.25013362002374345,-2.8677784618536477,0.09459518375917152
purchBuyNothing,0.10606060606060606,853.0254737335463,924,0.9231877421358726,0.9050435817981051,-0.5330346030449793,-1.2749549296074048,0.29403367549120063,1.3767232147617192,0.108743370983015
socialDocumentary,0.22510822510822512,962.5693516808377,924,1.0417417225983092,0.9728309562680829,0.5560860319021521,-0.6187724814348323,0.2835138483830444,0.40097129475950843,0.08286828626166344
socialGroup,0.025974025974025976,665.5993171092546,924,0.720345581287072,0.8486368336322756,-0.898608858309514,-0.847196797705186,0.2224473632102375,2.9400514554634545,0.20254260771844038
socialRead,0.5043290043290043,892.1237383276153,924,0.965501881306943,0.9887724711674019,-0.8842070776558985,-0.43020457236193616,0.33020152593180524,-1.0112608382013273,0.07145085422401375
socialSupportive,0.09199134199134198,816.3292361193809,924,0.8834731992633992,0.886278209362759,-0.7620842652165214,-1.3983491626594766,0.3072681142361956,1.5454747031842342,0.11524465406178211
waterShowerStop,0.15800865800865802,867.413945856295,924,0.9387596816626569,0.9810190340256671,-0.5716487919184335,-0.31647429808634064,0.24112962946861363,0.8811303119738798,0.0933309223280805
waterTeethStop,0.7965367965367965,834.9730175796441,924,0.9036504519260218,0.9448940484770411,-1.2177160579108446,-1.1786210744912156,0.27769684365946345,-2.5294956950880194,0.08671428868576322
