"","var","OOBerror"
"1","dictatorGame",0.609544468546638
"2","waterWashingNotFull_r",0
"3","waterDishNotFull_r",0.120390455531453
"4","waterShowerStop_",0
"5","waterTeethStop_",0.209100758396533
"6","waterLawn_r",0
"7","homeClothesCold_",0
"8","homeClothesHang_",0
"9","homeClothesDryer_r",0
"10","homeLightsOff_",0
"11","socialCritical_r",0
"12","socialSupportive_",0
"13","socialReduceImpact_",0
"14","socialOutside_",0
"15","socialDocumentary_",0
"16","socialRead_",0
"17","socialGroup_",0
"18","socialConversation_",0.250270855904659
"19","foodOrganicVeg_",0
"20","foodLocal_",0
"21","foodGarden_",0
"22","foodOwnLunch_",0.358613217768147
"23","foodForage_",0
"24","foodRefrainedDistance_",0
"25","foodMeat_r",0
"26","foodBeef_r",0
"27","foodLunchNoMeat_",0
"28","foodDinnerNoMeat_",0
"29","foodMeatEveryDay_r",0
"30","foodCowMilk_r",0
"31","foodTofu_",0
"32","foodNonDairyMilk_",0
"33","foodOatMilk_",0
"34","foodVegan_",0
"35","packDisposableWaterAway_r",0
"36","packDisposableWaterHome_r",0
"37","packTapWaterHome_",0
"38","packNonWaterDisposable_r",0
"39","packReusableBottle_",0
"40","packReusableMug_",0
"41","packDisposableCoffee_r",0
"42","packDeclineBag_",0.291440953412784
"43","packReusableBag_",0.300760043431053
"44","packDisposableBag_r",0
"45","packContainerToRestaurant_",0.0368364030335861
"46","packCarriedUtensils_",0.109425785482124
"47","packDisposablePlate_r",0
"48","packRags_",0.19501625135428
"49","packReusableNapkin_",0.214517876489707
"50","packZiploc_r",0.249187432286024
"51","packPaperTowel_r",0.0866738894907909
"52","packReducedPlastic_",0.211726384364821
"53","packGlassAlumOverPlastic_",0
"54","packAlumOverGlass_",0.20824295010846
"55","packRecycledContainer_",0
"56","packRecycledPaper_",0
"57","packPickUpRecycle_",0
"58","packCompost_",0.203683640303359
"59","packCarriedTrash_",0
"60","packPickedUpLitter_",0
"61","packThrownAwayRecycling_r",0
"62","packPullRecycleFromTrash_",0.0736728060671723
"63","packDilutedSoap_",0.309110629067245
"64","packGaveNotThrown_",0
"65","packRepaired_",0.284940411700975
"66","packReusedPaperPlasticBags_",0
"67","purchThrownAwayEarly_r",0
"68","foodThrownBadFood_r",0.290672451193059
"69","foodThrownGoodFood_r",0
"70","packReusedSingleUse_",0
"71","purchBoughtSecondHand_",0
"72","packGaveToFriend_",0
"73","purchBuyNothing_",0
"74","purchSlowShipping_",0.256771397616468
"75","transWalk_",0
"76","transBike_",0
"77","transPublic_",0.122426868905742
"78","transCarpool_",0.174431202600217
"79","transDrivenAlone_r",0
"80","transTaxiAlone_r",0.0780065005417118
"81","transTirePressure_",0.227518959913326
"82","fashFast_r",0.225352112676056
"83","purchOnlyNecessities_",0
"84","fashPutAside_",0
"85","fashShoppedSecondHand_",0
"86","purchTriedSecondHand_",0
"87","enviroID1",0
"88","enviroID2",0
"89","enviroID3",0
"90","greenGlow1",0
"91","greenGlow2",0
"92","greenGlow3",0
"93","greenGlow4",0
"94","efficacy1",0.391115926327194
"95","efficacy2",0
"96","efficacy3",0
"97","efficacy4",0
"98","age",0
"99","gender",0.339130434782609
"100","race",0.234972677595628
"101","education",0.304772234273319
"102","rurality",0.449180327868852
"103","income",0.636659436008677
"104","children",0
"105","election",0.266522210184182
"106","politics",0.651137594799567
