"","var","OOBerror"
"1","waterWashingNotFull_r",0
"2","waterDishNotFull_r",0
"3","waterShowerStop_",0
"4","waterTeethStop_",0
"5","waterLawn_r",0
"6","homeClothesCold_",0
"7","homeClothesHang_",0
"8","homeClothesDryer_r",0
"9","homeLightsOff_",0.0726872246696035
"10","socialCritical_r",0
"11","socialSupportive_",0
"12","socialReduceImpact_",0
"13","socialOutside_",0.297356828193833
"14","socialDocumentary_",0
"15","socialRead_",0
"16","socialGroup_",0
"17","socialConversation_",0
"18","foodOrganicVeg_",0
"19","foodLocal_",0.308370044052863
"20","foodGarden_",0
"21","foodOwnLunch_",0.366740088105727
"22","foodForage_",0
"23","foodRefrainedDistance_",0
"24","foodMeat_r",0
"25","foodBeef_r",0
"26","foodLunchNoMeat_",0
"27","foodDinnerNoMeat_",0
"28","foodMeatEveryDay_r",0
"29","foodCowMilk_r",0
"30","foodTofu_",0
"31","foodNonDairyMilk_",0
"32","foodOatMilk_",0
"33","foodVegan_",0
"34","packDisposableWaterAway_r",0
"35","packDisposableWaterHome_r",0
"36","packTapWaterHome_",0
"37","packNonWaterDisposable_r",0
"38","packReusableBottle_",0
"39","packReusableMug_",0
"40","packDisposableCoffee_r",0
"41","packDeclineBag_",0.300660792951542
"42","packReusableBag_",0
"43","packDisposableBag_r",0.428886438809261
"44","packContainerToRestaurant_",0.0308370044052863
"45","packCarriedUtensils_",0.113561190738699
"46","packDisposablePlate_r",0
"47","packRags_",0
"48","packReusableNapkin_",0.206401766004415
"49","packZiploc_r",0.243392070484582
"50","packPaperTowel_r",0.0751381215469613
"51","packReducedPlastic_",0.225913621262458
"52","packGlassAlumOverPlastic_",0
"53","packAlumOverGlass_",0.230429988974642
"54","packRecycledContainer_",0.113436123348018
"55","packRecycledPaper_",0
"56","packPickUpRecycle_",0
"57","packCompost_",0.236784140969163
"58","packCarriedTrash_",0
"59","packPickedUpLitter_",0
"60","packThrownAwayRecycling_r",0
"61","packPullRecycleFromTrash_",0.0759911894273128
"62","packDilutedSoap_",0
"63","packGaveNotThrown_",0
"64","packRepaired_",0.316427783902977
"65","packReusedPaperPlasticBags_",0
"66","purchThrownAwayEarly_r",0
"67","foodThrownBadFood_r",0
"68","foodThrownGoodFood_r",0
"69","packReusedSingleUse_",0
"70","purchBoughtSecondHand_",0.107929515418502
"71","packGaveToFriend_",0
"72","purchBuyNothing_",0
"73","purchSlowShipping_",0
"74","transWalk_",0
"75","transBike_",0
"76","transPublic_",0
"77","transCarpool_",0.197353914002205
"78","transDrivenAlone_r",0.260243632336656
"79","transTaxiAlone_r",0.0762430939226519
"80","transTirePressure_",0.242825607064018
"81","fashFast_r",0
"82","purchOnlyNecessities_",0
"83","fashPutAside_",0
"84","fashShoppedSecondHand_",0
"85","purchTriedSecondHand_",0
