"","var","OOBerror"
"1","foodLocal_",0
"2","foodLunchNoMeat_",0
"3","foodMeat_r",0
"4","foodOatMilk_",0
"5","foodTofu_",0
"6","foodVegan_",0
"7","homeClothesCold_",0.315192743764172
"8","homeClothesHang_",0
"9","homeLightsOff_",0
"10","packCarriedUtensils_",0
"11","packCompost_",0
"12","packContainerToRestaurant_",0
"13","packPickedUpLitter_",0
"14","packPullRecycleFromTrash_",0
"15","packRags_",0
"16","packReusableMug_",0
"17","packReusedPaperPlasticBags_",0
"18","purchBuyNothing_",0
"19","socialDocumentary_",0
"20","socialGroup_",0.0294784580498866
"21","socialRead_",0
"22","socialSupportive_",0.0839002267573696
"23","waterShowerStop_",0
"24","waterTeethStop_",0
"25","age",0
"26","gender",0.44874715261959
"27","race",0.276643990929705
"28","education",0
"29","rurality",0.551487414187643
"30","income",0.673469387755102
"31","children",0
"32","election",0
"33","politics",0
